split_new/AK Ghosh(aero)/101104062/lecture - 37.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 37.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 37.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 37.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 38.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 38.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 38.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 38.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 38.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 39.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 39.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 39.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 39.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 40.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 40.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 40.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 40.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 40.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 41.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 41.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 41.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 41.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 42.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 42.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 42.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 42.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 42.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 43.txt | tail_line_position=7 | 𝑓𝑥 − 𝜃𝑚𝑔 cosΘ1 = 𝑚𝑢̇
split_new/AK Ghosh(aero)/101104062/lecture - 43.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 43.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 43.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 43.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 44.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 44.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 44.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 44.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 44.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 45.txt | tail_line_position=7 | 
split_new/AK Ghosh(aero)/101104062/lecture - 45.txt | tail_line_position=4 | Aircraft Stability & Control
split_new/AK Ghosh(aero)/101104062/lecture - 45.txt | tail_line_position=3 | Prof. A.K.Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 45.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 45.txt | tail_line_position=1 | Indian institute of technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 46.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 46.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 46.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 46.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 47.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 47.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 47.txt | tail_line_position=2 | Department Of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 47.txt | tail_line_position=1 | Indian Institute of Technology Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 48.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 48.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 48.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 48.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 48.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 49.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 49.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 49.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 49.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 50.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 50.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 50.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 50.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 51.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 51.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 51.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 51.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 52.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 52.txt | tail_line_position=3 | Prof. A.K.Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 52.txt | tail_line_position=2 | Department Of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 52.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 53.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 53.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 53.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 53.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 54.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 54.txt | tail_line_position=3 | Prof. A. K .Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 54.txt | tail_line_position=2 | Department Of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 54.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 55.txt | tail_line_position=4 | Aircraft Stability & Control
split_new/AK Ghosh(aero)/101104062/lecture - 55.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 55.txt | tail_line_position=2 | Dept. of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 55.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 56.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 56.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 56.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 56.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 56.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 57.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 57.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 57.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 57.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
